BPS_School_Name,BPS_Historical_Name,BPS_Address,BPS_Grades_Offered,BPS_Property_Status,BPS_Total_GSF,BPS_GSF,BPS_Year_Founded ,BPS_Year_Built,BPS_Plans,BPS_KWH, BPS_Electric_Bill ,BPS_Therms, BPS_Gas_Bill ,BPS_Water_ft_cubic, BPS_Water_Bill , BPS_Total_Energy_Cost ,SMMA_FA_Status,SMMA_FA_School_Enrollment,SMMA_FA_Enrollment_Building,SMMA_FA_Major_Investments,SMMA_FA_Existing_PV,SMMA_FA_space_Solar,SMMA_FA_Roof_Membrane,SMMA_FA_Facade,SMMA_FA_,SMMA_FA_Boilers,SMMA_FA_Heating_Distribution_Systems,SMMA_FA_Ventilation_Distribution_Systems,SMMA_FA_Electrical_Service,SMMA_FA_Means_Egress,SMMA_FA_FP_Sprinklers,SMMA_FA_Life_Safety,SMMA_FA_Security_Entry,SMMA_FA_Lighting_Quantity_Control,SMMA_FA_Toilets_Fixtures,SMMA_FA_Plumbing_Distribution_Systems,SMMA_FA_Accessibility,SMMA_FA_Deterioration_Roof,SMMA_FA_Deterioration_Floor,SMMA_FA_Deterioration_Walls_Columns,SMMA_FA_Deterioration_Foundations,SMMA_FA_Deterioration_Facade,SMMA_FA_lateral_system_identifiable,SMMA_FA_Overall_Building_Condition,SMMA_FA_MHC_Inventory,SMMA_FA_MHC_Register,SMMA_FA_Emergency_Shelter,SMMA_FA_Community_Use_spaces,SMMA_FA_Overall_Community_Building,SMMA_FA_Building_suitability_school,SMMA_FA_susceptible_climate_change_now,SMMA_FA_susceptible_climate_change_2100,SMMA_FA_site_major_investments_10__years,SMMA_FA_building_expandable_current_site,SMMA_FA_Parking_Quality,SMMA_FA_Neighborhood_Streets,SMMA_FA_DropOff_PickUp,SMMA_FA_Walkways_Curbs_Sidewalks,SMMA_FA_MAABADA_Accessibility,SMMA_FA_Site_Lighting,SMMA_FA_Fencing,SMMA_FA_Drainage,SMMA_FA_Play_Areas,SMMA_FA_Walls_Slopes,SMMA_FA_Overall_Site_Condition,SMMA_FA_MHC_Archaeological_Assets,SMMA_FA_Mass_Transit,SMMA_FA_Bikable,SMMA_FA_Walkable,SMMA_FA_Overall_Community_Site,SMMA_FA_Site_suitability_school
"Adams, Samuel Elementary",Adams,"165 Webster St East Boston, MA 02128",K0-5,Owned,41336,41336,1910,1910,"CAD plans, site plans",381000,"$58,339.00",14650,"$13,401.00",0, $-   ,"$71,740.00",Phase 3,302,302,Yes,No,Yes,Moderate,Adequate,Replace,Replace,Moderate,Replace,Minor,Not Present,Not Present,Minor,Moderate,Minor,Replace,Replace,Not Present,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,Yes,Poor,Listed,Not Listed,No,No,Poor,Yes,No,No,No,Yes,Moderate,Adequate,Minor,Minor,Not Present,Minor,Moderate,Minor,Minor,Minor,Fair,Not Researched,Yes,Yes,Yes,Fair,Yes
"Alighieri, Dante Montessori School",Alighieri,"37 Gove Street East Boston, MA 02128",K0-5,Owned,16948,16948,1924,1924,"CAD plans, site plans",9977,"$2,072.00",8230,"$9,957.00",8120,"$1,685.00","$13,714.00",Phase 3,90,90,Yes,No,Yes,Minor,Adequate,Adequate,Adequate,Adequate,Adequate,Adequate,Moderate,Adequate,Adequate,Minor,Adequate,Adequate,Adequate,Replace,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,Yes,Good,Not Listed,Not Listed,No,Yes,Good,Yes,Yes,Yes,Yes,No,Moderate,Minor,Minor,Adequate,Not Present,Minor,Adequate,Moderate,Adequate,Moderate,Fair,Not Researched,Yes,Yes,Yes,Fair,No
Another Course to College*,Taft,"20 Warren Street Brighton, MA 02135",09-dic,Owned,28021,28021,1939,1895,"CAD plans, site plans",343410,"$49,657.00",51459,"$57,978.00",163110,"$20,763.00","$128,398.00",Phase 3,237,674,Yes,No,Yes,Minor,Adequate,Minor,Moderate,Moderate,Moderate,Adequate,Minor,Not Present,Adequate,Moderate,Minor,Adequate,Adequate,Moderate,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,No,Good,Listed,Not Listed,No,No,Poor,Yes,No,No,No,No,Adequate,Adequate,Minor,Minor,Moderate,Moderate,Adequate,Adequate,Moderate,Moderate,Good,Not Researched,Yes,Yes,Yes,Good,Yes
Baldwin Early Learning Pilot Academy,Baldwin ELC,"121 Corey Rd Brighton, MA 02135",K0-1,Owned,27879,27879,1926,1926,"CAD plans, site plans",70212,"$9,588.00",9806,"$11,657.00",42550,"$5,227.00","$26,472.00",Phase 3,142,142,Yes,No,Yes,Not Present,Minor,Minor,Moderate,Moderate,Minor,Minor,Minor,Not Present,Adequate,Moderate,Minor,Moderate,Moderate,Minor,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,No,Good,Listed,Not Listed,No,No,Poor,Yes,No,No,No,No,Minor,Adequate,Moderate,Minor,Moderate,Minor,Minor,Moderate,Adequate,Minor,Good,Not Researched,Yes,Yes,Yes,Good,No
"Bates, Phineas Elementary",Bates,"426 Beech St Roslindale, MA 02131",K1-5,Owned,27936,27936,1929,1929,"CAD plans, site plans",91800,"$13,367.00",14530,"$16,909.00",42870,"$5,262.00","$35,538.00",Phase 3,297,297,Yes,No,Yes,Moderate,Adequate,Moderate,Replace,Moderate,Moderate,Replace,Adequate,Not Present,Minor,Moderate,Adequate,Replace,Moderate,Replace,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,Yes,Fair,Listed,Not Listed,No,No,Poor,Yes,No,No,No,Yes,Replace,Minor,Minor,Minor,Not Present,Moderate,Minor,Minor,Minor,Moderate,Fair,Not Researched,Yes,Yes,Yes,Fair,Yes
"Beethoven, Ludwig Van Elementary",Beethoven,"5125 Washington St West Roxbury, MA 02132",K1-3,Owned,37452,37452,1925,1925,"CAD plans, site plans",122680,"$19,632.00",17669,"$20,307.00",73100,"$10,491.00","$50,430.00",Phase 3,342,342,Yes,No,Yes,Adequate,Adequate,Adequate,Adequate,Minor,Moderate,Adequate,Adequate,Adequate,Adequate,Adequate,Adequate,Minor,Minor,Adequate,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,Yes,Excellent,Not Listed,Not Listed,No,No,Fair,Yes,No,No,Yes,Yes,Adequate,Minor,Adequate,Moderate,Minor,Not Present,Minor,Moderate,Not Present,Not Present,Fair,Not Researched,No,No,Yes,Fair,No
"Blackstone, William Elementary",Blackstone,"380 Shawmut Ave Boston, MA 02118",K0-5,Owned,194260,167781,1975,1975,"CAD plans, site plans",1048920,"$226,804.00",115380,"$124,712.00",218350,"$27,794.00","$379,310.00",Phase 3,595,595,Yes,No,Yes,Adequate,Minor,Minor,Minor,Adequate,Adequate,Minor,Adequate,Moderate,Adequate,Minor,Minor,Moderate,Minor,Adequate,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,Yes,Good,Not Listed,Not Listed,No,Yes,Good,Yes,No,Yes,Yes,No,Replace,Minor,Moderate,Moderate,Moderate,Minor,Adequate,Minor,Minor,Minor,Fair,Not Researched,Yes,Yes,Yes,Fair,Yes
Boston Adult Technical Academy,,"20 Church Street Boston, MA 02116",11-dic,Owned,17640,17640,2005,1899,"CAD plans, site plans",91160,"$20,821.00",3845,"$5,269.00",23630,"$3,148.00","$29,238.00",Phase 3,170,170,No,No,Yes,Replace,Adequate,Adequate,Minor,Moderate,Moderate,Minor,Adequate,Adequate,Moderate,Adequate,Adequate,Moderate,Moderate,Adequate,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,No,Good,Listed,Not Listed,No,No,Deficient,Yes,No,Yes,No,No,Not Present,Adequate,Not Present,Minor,Replace,Moderate,Adequate,Minor,Not Present,Minor,Fair,Not Researched,Yes,Yes,Yes,Fair,No
Boston Arts Academy,Boston Arts Academy,"174 Ipswich St Boston, MA 02215",09-dic,Owned,79541,79541,1998,1899,"CAD plans, site plans",782820,"$112,162.00",54291,"$66,101.00",71260,"$10,245.00","$188,508.00",Phase 3,437,437,Yes,No,Yes,Minor,Adequate,Adequate,Minor,Adequate,Moderate,Adequate,Minor,Minor,Minor,Adequate,Adequate,Minor,Moderate,Adequate,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,No,Good,Not Listed,Not Listed,Yes,No,Poor,Yes,No,Yes,No,Yes,Not Present,Moderate,Adequate,Not Present,Minor,Not Present,Not Present,Not Present,Not Present,Not Present,Poor,Not Researched,Yes,Yes,No,Poor,No
Boston Community Leadership Academy*,Hyde Park High Complex,"655 Metropolitan Av Hyde Park, MA 02136",09-dic,Owned,127373,127373,2005,1929,"CAD plans, site plans",1016346,"$152,573.00",87336,"$64,059.00",120635,"$16,435.00","$233,067.00",Phase 3,506,825,Yes,No,Yes,Adequate,Adequate,Adequate,Minor,Minor,Adequate,Adequate,Adequate,Adequate,Adequate,Minor,Adequate,Moderate,Minor,Minor,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,Yes,Good,Listed,Not Listed,No,Yes,Good,Yes,No,No,No,No,Minor,Minor,Moderate,Moderate,Not Present,Minor,Minor,Minor,Not Present,Minor,Fair,Not Researched,No,Yes,Yes,Fair,Yes
Boston Day & Evening Academy,Wheatley,"20 Kearsarge Avenue, Roxbury 02119",09-dic,Owned,55351,55351,1929,1995,"CAD plans, site plans",203360,"$34,153.00",18146,"$27,214.00",25950,"$3,088.00","$64,455.00",Phase 3,400,400,No,No,Yes,Minor,Adequate,Replace,Adequate,Minor,Minor,Adequate,Adequate,Not Present,Adequate,Minor,Adequate,Adequate,Minor,Adequate,Not Observed,Not Observed,Not Observed,Not Observed,Yes,Yes,Good,Not Listed,Not Listed,No,No,Poor,Yes,No,No,No,Yes,Minor,Adequate,Not Present,Adequate,Moderate,Adequate,Moderate,Minor,Not Present,Minor,Good,Not Researched,Yes,Yes,Yes,Good,Yes
Boston Green Academy*,Taft,"20 Warren Street Brighton, MA 02135",06-dic,Owned,113199,113199,,1895,"Program plans, MSBA space comparison plans, CAD plans, site plans",343410,"$49,657.00",51459,"$57,978.00",163110,"$20,763.00","$128,398.00",Phase 2,437,674,Yes,No,Yes,Minor,Adequate,Minor,Moderate,Moderate,Not Present,Adequate,Minor,Not Present,Adequate,Moderate,Minor,Adequate,Adequate,Moderate,Not Observed,Yes,Not Observed,Not Observed,Not Observed,Yes,Good,Listed,Not Listed,No,No,Poor,Yes,No,No,No,No,Adequate,Adequate,Minor,Minor,Moderate,Moderate,Adequate,Adequate,Moderate,Moderate,Good,Not Researched,Yes,Yes,Yes,Good,Yes
Boston International Newcomers Academy,Thompson,"100 Maxwell St Dorchester, MA 02124",09-dic,Owned,103272,103272,"2003, 2009",1922,"CAD plans, site plans",250144,"$35,951.00",26121,"$36,426.00",43700,"$5,374.00","$77,751.00",Phase 3,375,375,No,No,Yes,Moderate,Adequate,Moderate,Moderate,Replace,Replace,Minor,Moderate,Not Present,Adequate,Minor,Replace,Moderate,Replace,Not Present,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,Yes,Fair,Not Listed,Not Listed,No,Yes,Poor,Yes,No,No,No,Yes,Moderate,Minor,Not Present,Replace,Not Present,Not Present,Moderate,Moderate,Not Present,Minor,Poor,Not Researched,Yes,Yes,Yes,Poor,No
Boston Latin Academy,Boston Technical High School,"205 Townsend St Dorchester, MA 02121",07-dic,Owned,324188,224188,1926,1926,"CAD plans, site plans",1080876,"$149,373.00",87133,"$112,539.00",351300,"$46,563.00","$308,475.00",Phase 3,1718,1718,Yes,Yes,Yes,Adequate,Adequate,Minor,Minor,Moderate,Moderate,Minor,Adequate,Replace,Minor,Minor,Minor,Moderate,Moderate,Adequate,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,Yes,Good,Listed,Not Listed,Yes,Yes,Good,Yes,No,No,No,Yes,Moderate,Minor,Minor,Moderate,Not Present,Minor,Moderate,Moderate,Not Present,Minor,Fair,Not Researched,Yes,Yes,Yes,Fair,Yes
Boston Latin School,Boston Latin School,"78 Louis Pasteur Avenue Boston, MA 02115",07-dic,Owned,336378,336378,1922,1922,"Program plans, MSBA space comparison plans, CAD plans, site plans",1518864,"$224,542.00",144261,"$181,411.00",286465,"$38,283.00","$444,236.00",Phase 2,2439,2439,Yes,No,Yes,Minor,Minor,Minor,Replace,Minor,Moderate,Adequate,Minor,Adequate,Adequate,Minor,Minor,Minor,Adequate,Minor,Not Observed,Yes,Yes,Not Observed,Yes,Yes,Good,Listed,Not Listed,Yes,No,Poor,Yes,No,Yes,Yes,No,Adequate,Adequate,Moderate,Minor,Adequate,Moderate,Minor,Minor,Adequate,Not Present,Good,Not Researched,Yes,No,No,Good,Yes
Boston Teachers Union K-8 School,BTU K-8,"25 Walk Hill St Jamaica Plain, MA 02130",K0-8,Owned,39586,39586,1899,1889,"CAD plans, site plans",145560,"$24,218.00",27613,"$31,297.00",44430,"$6,202.00","$61,717.00",Phase 3,326,326,No,No,Yes,Adequate,Adequate,Adequate,Moderate,Minor,Moderate,Adequate,Adequate,Adequate,Adequate,Minor,Adequate,Minor,Minor,Adequate,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,Yes,Good,Not Listed,Not Listed,No,Yes,Good,Yes,No,No,Yes,No,Not Present,Minor,Moderate,Replace,Minor,Not Present,Adequate,Moderate,Replace,Moderate,Fair,Not Researched,Yes,Yes,Yes,Fair,No
"Bradley, Manassah E. Elementary",Bradley,"110 Beachview Rd East Boston, MA 02128",K0-5,Owned,33128,33128,1958,1958,"Program plans, MSBA space comparison plans, CAD plans, site plans",120880,"$17,820.00",11698,"$13,768.00",39850,"$4,889.00","$36,477.00",Phase 2,309,309,Yes,No,Yes,Adequate,Minor,Replace,Adequate,Minor,Not Present,Minor,Minor,Not Present,Replace,Minor,Minor,Moderate,Adequate,Not Present,Not Observed,Not Observed,Yes,Not Observed,Yes,No,Fair,Not Listed,Not Listed,No,No,Poor,Yes,No,No,No,No,Not Present,Minor,Replace,Moderate,Not Present,Moderate,Minor,Adequate,Adequate,Moderate,Fair,Not Researched,Yes,No,Yes,Fair,No
Brighton High,Brighton High,"25 Warren St Brighton, MA 02135",09-dic,Owned,216213,216213,1930,1930,"CAD plans, site plans",681868,"$103,151.00",54654,"$70,999.00",227450,"$29,457.00","$203,607.00",Phase 3,931,931,Yes,No,Yes,Minor,Adequate,Minor,Minor,Moderate,Moderate,Minor,Adequate,Not Present,Minor,Moderate,Minor,Replace,Replace,Minor,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,Yes,Fair,Listed,Not Listed,Yes,No,Fair,Yes,No,No,No,No,Minor,Minor,Moderate,Moderate,Moderate,Moderate,Replace,Minor,Not Present,Moderate,Fair,Not Researched,Yes,Yes,Yes,Fair,No
"Burke, Jeremiah E. High*",Burke High,"60 Washington St Dorchester, MA 02121",09-dic,Owned,202304,123099.72,1934,1934,"Program plans, MSBA space comparison plans, CAD plans, site plans",1322520,"$228,356.00",95716,"$84,952.00",93007,"$12,954.00","$326,262.00",Phase 1,532,794,Yes,No,Yes,Adequate,Adequate,Replace,Minor,Replace,Replace,Adequate,Minor,Moderate,Adequate,Moderate,Minor,Moderate,Moderate,Minor,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,No,Fair,Listed,Not Listed,No,Yes,Good,Yes,No,No,No,No,Adequate,Minor,Minor,Adequate,Moderate,Adequate,Minor,Adequate,Not Present,Adequate,Good,Not Researched,Yes,Yes,Yes,Good,Yes
Carter Development Center,Carter School,"396 Northampton St Boston, MA 02118",06-dic,Owned,13583,13583,1971,1971,"CAD plans, site plans",325320,"$56,532.00",0, $-   ,60820,"$4,360.00","$60,892.00",Phase 3,28,28,Yes,No,Yes,Minor,Moderate,Replace,Not Present,Minor,Adequate,Adequate,Adequate,Not Present,Moderate,Adequate,Minor,Moderate,Adequate,Adequate,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,Yes,Good,Not Listed,Not Listed,No,No,Deficient,Yes,No,Yes,Yes,No,Adequate,Adequate,Adequate,Adequate,Adequate,Minor,Minor,Moderate,Adequate,Not Present,Good,Not Researched,Yes,Yes,Yes,Good,No
"Channing, William E. Elementary",Channing Elementary,"35 Sunnyside St Hyde Park, MA 02136",K1-5,Owned,32582,32582,1928,1928,"CAD plans, site plans",87152,"$13,285.00",14269,"$10,694.00",39730,"$4,885.00","$28,864.00",Phase 3,292,292,Yes,No,Yes,Adequate,Adequate,Minor,Minor,Moderate,Moderate,Minor,Minor,Not Present,Minor,Moderate,Adequate,Minor,Minor,Not Present,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,Yes,Fair,Not Listed,Not Listed,No,Yes,Fair,Yes,No,No,No,No,Replace,Moderate,Moderate,Moderate,Not Present,Not Present,Moderate,Moderate,Minor,Moderate,Poor,Not Researched,No,Yes,Yes,Poor,Yes
Charlestown High,Charlestown High,"240 Medford St Charlestown, MA 02129",09-dic,Owned,226822,226822,1978,1978,"CAD plans, site plans",1199240,"$221,161.00",130015,"$167,987.00",192520,"$26,431.00","$415,579.00",Phase 3,958,958,Yes,No,Yes,Minor,Adequate,Adequate,Adequate,Moderate,Moderate,Adequate,Adequate,Minor,Minor,Minor,Adequate,Adequate,Moderate,Adequate,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,Yes,Good,Not Listed,Not Listed,No,Yes,Good,Yes,No,Yes,Yes,Yes,Minor,Minor,Minor,Minor,Minor,Minor,Adequate,Minor,Adequate,Minor,Good,Not Researched,Yes,Yes,Yes,Good,Yes
"Chittick, James J. Elementary",Chittick Elementary,"154 Ruskindale Rd Mattapan, MA 02126",K1-5,Owned,48697,48697,1931,1931,"CAD plans, site plans",120072,"$17,670.00",16973,"$12,811.00",48120,"$5,945.00","$36,426.00",Phase 3,310,310,Yes,No,Yes,Moderate,Minor,Replace,Minor,Moderate,Moderate,Minor,Minor,Not Present,Minor,Moderate,Minor,Moderate,Moderate,Not Present,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,Yes,Fair,Not Listed,Not Listed,No,No,Poor,Yes,No,No,No,Yes,Not Present,Moderate,Minor,Replace,Not Present,Not Present,Minor,Moderate,Moderate,Moderate,Poor,Not Researched,No,Yes,Yes,Poor,Yes
Clap Innovation School,Clap Elementary,"35 Harvest Street, Dorchester",K1-5,Owned,29448,29448,2011,1896,"Program plans, MSBA space comparison plans, CAD plans, site plans",73600,"$13,196.00",8819,"$10,654.00",21170,"$2,510.00","$26,360.00",Phase 2,158,158,Yes,No,No,Replace,Minor,Minor,Adequate,Minor,Not Present,Adequate,Moderate,Not Present,Adequate,Moderate,Minor,Adequate,Adequate,Replace,Yes,Not Observed,Yes,Not Observed,Not Observed,Yes,Fair,Not Listed,Not Listed,No,No,Poor,Yes,No,No,No,No,Moderate,Adequate,Moderate,Adequate,Moderate,Replace,Adequate,Minor,Adequate,Adequate,Good,Not Researched,Yes,No,Yes,Good,No
Community Academy,Fuller,"25 Glen Road, Jamaica Plain",09-dic,Owned,19889,19889,,1892,"CAD plans, site plans",58670,"$8,053.00",10744,"$12,706.00",19720,"$2,573.00","$23,332.00",Phase 3,40,40,Yes,No,Yes,Replace,Adequate,Minor,Replace,Replace,Replace,Moderate,Moderate,Not Present,Replace,Replace,Minor,Replace,Replace,Replace,Yes,Yes,Not Observed,Yes,Not Observed,Yes,Poor,Listed,Not Listed,No,No,Poor,No,No,No,No,Yes,Replace,Moderate,Not Present,Replace,Not Present,Not Present,Replace,Moderate,Moderate,Replace,Poor,Not Researched,Yes,Yes,Yes,Poor,No
Community Academy of Science & Health*,Cleveland,"11 Charles St Dorchester, MA 02122",09-dic,Owned,85935,85935,2005,1928,"CAD plans, site plans",443480,"$86,517.00",47502,"$59,149.00",89380,"$11,207.00","$156,873.00",Phase 3,414,483,Yes,No,Yes,Minor,Adequate,Moderate,Minor,Minor,Minor,Minor,Minor,Moderate,Minor,Minor,Moderate,Minor,Minor,Minor,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,Yes,Fair,Not Listed,Not Listed,Yes,No,Poor,Yes,No,No,Yes,No,Moderate,Minor,Replace,Moderate,Moderate,Moderate,Moderate,Minor,Not Present,Replace,Fair,Not Researched,Yes,Yes,Yes,Fair,Yes
"Condon, James F. Elementary",Condon Elementary,"200 D St South Boston, MA 02127",K0-6,Owned,140426,140426,1975,1975,"CAD plans, site plans",783380,"$183,575.00",133690,"$148,439.00",248250,"$32,480.00","$364,494.00",Phase 3,837,837,Yes,No,Yes,Minor,Adequate,Minor,Replace,Minor,Minor,Adequate,Adequate,Not Present,Adequate,Adequate,Moderate,Moderate,Minor,Adequate,Not Observed,Yes,Yes,Not Observed,Not Observed,Yes,Good,Not Listed,Not Listed,Yes,Yes,Excellent,Yes,No,Yes,No,Yes,Minor,Minor,Moderate,Moderate,Minor,Minor,Minor,Minor,Moderate,Adequate,Good,Not Researched,Yes,Yes,Yes,Good,Yes
"Conley, George H. Elementary",Conley Elementary School,"450 Poplar St Roslindale, MA 02131",K0-5,Owned,25281,25281,1931,1931,"CAD plans, site plans",87524,"$9,843.00",14007,"$16,293.00",45170,"$5,586.00","$31,722.00",Phase 3,220,220,Yes,No,Yes,Adequate,Adequate,Minor,Replace,Moderate,Moderate,Minor,Minor,Not Present,Moderate,Minor,Adequate,Minor,Moderate,Replace,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,No,Fair,Listed,Not Listed,No,No,Fair,Yes,No,No,No,Yes,Moderate,Adequate,Minor,Minor,Not Present,Not Present,Replace,Moderate,Moderate,Moderate,Fair,Not Researched,No,Yes,Yes,Fair,Yes
Curley K-8 (Lower School),James Curley Elementary School,"40 Pershing Rd Jamaica Plain, MA 02130",K1-5,Owned,34445,34445,2007,1970,"CAD plans, site plans",203904,"$36,879.00",13298,"$16,031.00",48760,"$6,013.00","$58,923.00",Phase 3,895,632,Yes,No,Yes,Replace,Adequate,Replace,Moderate,Minor,Minor,Adequate,Moderate,Not Present,Minor,Adequate,Minor,Moderate,Minor,Minor,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,Yes,Good,Not Listed,Not Listed,No,No,Poor,Yes,No,No,Yes,No,Replace,Minor,Minor,Replace,Replace,Not Present,Adequate,Moderate,Adequate,Replace,Fair,Not Researched,Yes,Yes,Yes,Fair,Yes
Curley K-8 (Upper School),Mary Curley Middle School,"493 Centre Street, Jamaica Plain",06-ago,Owned,122183,122183,2007,1931,"CAD plans, site plans",267312,"$40,681.00",36797,"$41,436.00",87690,"$11,035.00","$93,152.00",Phase 3,895,263,Yes,No,Yes,Minor,Adequate,Replace,Minor,Moderate,Moderate,Minor,Minor,Not Present,Adequate,Minor,Adequate,Replace,Replace,Adequate,Not Observed,Not Observed,Yes,Not Observed,Not Observed,Yes,Good,Listed,Not Listed,Yes,Yes,Fair,Yes,No,No,Yes,No,Replace,Minor,Minor,Replace,Replace,Not Present,Adequate,Moderate,Adequate,Replace,Fair,Not Researched,Yes,Yes,Yes,Fair,Yes
Dearborn STEM Academy*,Dearborn,"35 Greenville Street Roxbury, MA ",06-dic,In Construction,202304,57929.28,1912,2018,None,,,,,,, $-   ,Not Assessed,262,794,,,,,,,,,,,,,,,,,,,,,,,,,Not Assessed,,,,,Not Assessed,,,,,,,,,,,,,,,,Not Assessed,Not Researched,,,,Not Assessed,
"Dever, Paul A. Elementary",Dever Elementary,"325 Mt Vernon St Dorchester, MA 02125",K1-5,Owned,75892,75892,1957,1957,"CADplans,siteplans",493520,"$76,625.00",86865,"$109,138.00",149580,"$19,400.00","$205,163.00",Phase 3,498,498,Yes,No,Yes,Minor,Minor,Minor,Moderate,Replace,Replace,Replace,Replace,Replace,Moderate,Replace,Minor,Replace,Replace,Not Present,Not Observed,Not Observed,Not Observed,Not Observed,Yes,No,Poor,Not Listed,Not Listed,No,No,Poor,Yes,No,Yes,No,Yes,Replace,Minor,Adequate,Moderate,Adequate,Not Present,Replace,Replace,Replace,Replace,Fair,Not Researched,Yes,No,No,Fair,Yes
Dickerman Elementary,Dickerman Elementary,"206 Magnolia St, Dorchester, MA 02121",None,Closed,28650,28650,1915,1915,"CAD plans, site plans",,,,,,, $-   ,Phase 3,0,0,No,No,Yes,Adequate,Adequate,Adequate,Moderate,Adequate,Minor,Minor,Moderate,Not Present,Minor,Minor,Adequate,Adequate,Minor,Replace,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,Yes,Good,Not Listed,Not Listed,No,No,Poor,No,No,No,No,Yes,Minor,Minor,Replace,Minor,Not Present,Moderate,Moderate,Minor,Minor,Minor,Fair,Not Researched,No,No,No,Fair,No
Dorchester Academy*,Cleveland,"11 Charles St. Dorchester, MA 02122",09-dic,Owned,85935,85935,1919,1928,"CAD plans, site plans",350496,"$87,775.00",55181,"$61,154.00",52050,"$6,407.00","$155,336.00",Phase 3,69,483,Yes,No,Yes,Minor,Adequate,Moderate,Minor,Minor,Minor,Minor,Minor,Minor,Minor,Moderate,Moderate,Minor,Minor,Replace,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,Yes,Good,Not Listed,Not Listed,Yes,No,Poor,Yes,No,No,Yes,No,Moderate,Minor,Replace,Moderate,Moderate,Moderate,Moderate,Minor,Not Present,Replace,Fair,Not Researched,Yes,Yes,Yes,Fair,Yes
Dudley Street Neighborhood School,Emerson Elementary,"6 Shirley St Roxbury, MA 02119",K1-5,Owned,19629,19629,,1924,"CAD plans, site plans",139760,"$19,403.00",9720,"$11,588.00",66960,"$8,361.00","$39,352.00",Phase 3,292,292,Yes,No,Yes,Moderate,Moderate,Replace,Moderate,Moderate,Moderate,Minor,Moderate,Not Present,Minor,Replace,Minor,Replace,Moderate,Not Present,Not Observed,Not Observed,Not Observed,Not Observed,Yes,Yes,Fair,Not Listed,Not Listed,No,No,Poor,Yes,No,No,No,Yes,Moderate,Minor,Moderate,Minor,Not Present,Not Present,Moderate,Moderate,Minor,Moderate,Fair,Not Researched,Yes,Yes,Yes,Fair,Yes
East Boston Early Education Center,East Boston EEC,"135 Gove St East Boston, MA 02128",K0-1,Owned,36400,36400,1998,1998,"CAD plans, site plans",276680,"$55,224.00",13676,"$15,931.00",48760,"$7,316.00","$78,471.00",Phase 3,184,184,Yes,No,Yes,Minor,Adequate,Adequate,Minor,Minor,Minor,Minor,Adequate,Not Present,Adequate,Adequate,Adequate,Adequate,Adequate,Adequate,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,Yes,Excellent,Not Listed,Not Listed,No,No,N/A,Yes,No,Yes,No,No,Replace,Minor,Adequate,Adequate,Adequate,Adequate,Adequate,Adequate,Adequate,Not Present,Good,Not Researched,Yes,Yes,Yes,Good,Yes
East Boston High,East Boston High,"86 White St East Boston, MA 02128",09-dic,Owned,242505,242505,1924,1924,"Program plans, MSBA space comparison plans, CAD plans, site plans",632401,"$97,928.00",88910,"$122,202.00",134780,"$18,655.00","$238,785.00",Phase 2,1495,1495,Yes,No,Yes,Minor,Adequate,Moderate,Replace,Moderate,Moderate,Adequate,Minor,Minor,Replace,Moderate,Adequate,Adequate,Adequate,Adequate,Not Observed,Not Observed,Yes,Not Observed,Not Observed,Yes,Good,Listed,Listed,No,No,Fair,Yes,No,No,Yes,No,Minor,Moderate,Minor,Adequate,Moderate,Minor,Moderate,Adequate,Replace,Minor,Good,Not Researched,Yes,Yes,Yes,Good,Yes
