BPS_School_Name,BPS_Historical_Name,BPS_Address,BPS_Grades_Offered,BPS_Property_Status,BPS_Total_GSF,BPS_GSF,BPS_Year_Founded ,BPS_Year_Built,BPS_Plans,BPS_KWH, BPS_Electric_Bill ,BPS_Therms, BPS_Gas_Bill ,BPS_Water_ft_cubic, BPS_Water_Bill , BPS_Total_Energy_Cost ,SMMA_FA_Status,SMMA_FA_School_Enrollment,SMMA_FA_Enrollment_Building,SMMA_FA_Major_Investments,SMMA_FA_Existing_PV,SMMA_FA_space_Solar,SMMA_FA_Roof_Membrane,SMMA_FA_Facade,SMMA_FA_,SMMA_FA_Boilers,SMMA_FA_Heating_Distribution_Systems,SMMA_FA_Ventilation_Distribution_Systems,SMMA_FA_Electrical_Service,SMMA_FA_Means_Egress,SMMA_FA_FP_Sprinklers,SMMA_FA_Life_Safety,SMMA_FA_Security_Entry,SMMA_FA_Lighting_Quantity_Control,SMMA_FA_Toilets_Fixtures,SMMA_FA_Plumbing_Distribution_Systems,SMMA_FA_Accessibility,SMMA_FA_Deterioration_Roof,SMMA_FA_Deterioration_Floor,SMMA_FA_Deterioration_Walls_Columns,SMMA_FA_Deterioration_Foundations,SMMA_FA_Deterioration_Facade,SMMA_FA_lateral_system_identifiable,SMMA_FA_Overall_Building_Condition,SMMA_FA_MHC_Inventory,SMMA_FA_MHC_Register,SMMA_FA_Emergency_Shelter,SMMA_FA_Community_Use_spaces,SMMA_FA_Overall_Community_Building,SMMA_FA_Building_suitability_school,SMMA_FA_susceptible_climate_change_now,SMMA_FA_susceptible_climate_change_2100,SMMA_FA_site_major_investments_10__years,SMMA_FA_building_expandable_current_site,SMMA_FA_Parking_Quality,SMMA_FA_Neighborhood_Streets,SMMA_FA_DropOff_PickUp,SMMA_FA_Walkways_Curbs_Sidewalks,SMMA_FA_MAABADA_Accessibility,SMMA_FA_Site_Lighting,SMMA_FA_Fencing,SMMA_FA_Drainage,SMMA_FA_Play_Areas,SMMA_FA_Walls_Slopes,SMMA_FA_Overall_Site_Condition,SMMA_FA_MHC_Archaeological_Assets,SMMA_FA_Mass_Transit,SMMA_FA_Bikable,SMMA_FA_Walkable,SMMA_FA_Overall_Community_Site,SMMA_FA_Site_suitability_school
"Stone, Lucy Elementary",Lucy Stone Elementary,"22 Regina Road Dorchester Center, MA 02124",None,Closed,23281,23281,1937,1937,"CAD plans, site plans",,,,,,, $-   ,Phase 3,0,0,Yes,No,Yes,Minor,Adequate,Minor,Adequate,Adequate,Minor,Adequate,Adequate,Not Present,Minor,Minor,Adequate,Adequate,Minor,Replace,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,Yes,Good,Not Listed,Not Listed,No,No,Fair,Yes,No,No,No,No,Adequate,Minor,Replace,Minor,Not Present,Moderate,Moderate,Adequate,Adequate,Replace,Good,Not Researched,Yes,Yes,Yes,Good,Yes
"Sumner, Charles Elementary",Sumner Elementary,"15 Basile St Roslindale, MA 02131",K1-5,Owned,49105,49105,1931,1931,"Program plans, MSBA space comparison plans, CAD plans, site plans",130896,"$19,329.00",18158,"$27,697.00",67310,"$8,425.00","$55,451.00",Phase 2,540,540,Yes,No,Yes,Minor,Adequate,Minor,Replace,Replace,Replace,Adequate,Minor,Not Present,Adequate,Moderate,Minor,Adequate,Adequate,Not Present,Yes,Not Observed,Yes,Not Observed,Not Observed,No,Fair,Listed,Not Listed,Yes,Yes,Fair,Yes,No,No,No,No,Adequate,Moderate,Replace,Minor,Moderate,Minor,Moderate,Minor,Minor,Moderate,Good,Not Researched,Yes,Yes,Yes,Good,Yes
"Taylor, Charles H. Elementary",Taylor Elementary,"1060 Morton St Mattapan, MA 02126",K0-5,Owned,49702,49702,1931,1931,"CAD plans, site plans",132046,"$21,044.00",16125,"$18,973.00",81130,"$10,194.00","$50,211.00",Phase 3,508,508,Yes,No,Yes,Minor,Adequate,Minor,Adequate,Moderate,Replace,Moderate,Minor,Not Present,Minor,Moderate,Moderate,Replace,Moderate,Adequate,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,No,Fair,Not Listed,Not Listed,No,No,Fair,Yes,No,No,No,No,Moderate,Adequate,Moderate,Adequate,Not Present,Not Present,Adequate,Minor,Moderate,Adequate,Fair,Not Researched,Yes,No,No,Fair,Yes
TechBoston Academy,Dorchester Education Complex,"9 Peacevale Rd Dorchester, MA 02124",06-dic,Owned,183534,183534,2002,1925,"CAD plans, site plans",262942,"$40,373.00",34283,"$46,670.00",148440,"$18,619.00","$105,662.00",Phase 3,982,982,No,No,Yes,Replace,Adequate,Replace,Moderate,Moderate,Moderate,Minor,Moderate,Not Present,Minor,Moderate,Minor,Moderate,Moderate,Minor,Yes,Not Observed,Not Observed,Not Observed,Not Observed,Yes,Fair,Not Listed,Not Listed,No,No,Poor,Yes,No,No,No,Yes,Moderate,Minor,Replace,Moderate,Not Present,Minor,Moderate,Minor,Not Present,Minor,Fair,Not Researched,No,Yes,Yes,Fair,Yes
"Timilty, James P. Middle",Timilty Middle,"205 Roxbury St Roxbury, MA 02119",06-ago,Owned,83120,83120,1937,1937,"Program plans, MSBA space comparison plans, CAD plans, site plans",241040,"$38,010.00",30316,"$40,017.00",79470,"$10,188.00","$88,215.00",Phase 2,432,432,Yes,No,Yes,Adequate,Minor,Moderate,Replace,Moderate,Replace,Replace,Moderate,Not Present,Adequate,Replace,Minor,Adequate,Adequate,Moderate,Not Observed,Not Observed,Yes,Not Observed,Yes,No,Fair,Listed,Listed,No,No,Poor,Yes,No,No,No,No,Moderate,Adequate,Adequate,Moderate,Moderate,Replace,Replace,Minor,Deficient,Not Present,Fair,Not Researched,Yes,No,Yes,Fair,Yes
"Tobin, Maurice J. K-8",Tobin K-8,"40 Smith St Roxbury, MA 02120",K0-8,Owned,64091,64091,1959,1959,"Program plans, MSBA space comparison plans, CAD plans, site plans",212880,"$35,357.00",29183,"$39,072.00",69185,"$9,384.00","$83,813.00",Phase 2,453,453,Yes,No,Yes,Adequate,Adequate,Moderate,Replace,Minor,Replace,Moderate,Adequate,Not Present,Replace,Minor,Minor,Adequate,Adequate,Replace,Not Observed,Not Observed,Yes,Not Observed,Yes,No,Fair,Not Listed,Not Listed,Yes,Yes,Fair,Yes,No,No,No,No,Moderate,Minor,Moderate,Minor,Moderate,Replace,Minor,Moderate,Adequate,Minor,Fair,Not Researched,Yes,Yes,Yes,Fair,Yes
"Trotter, William Monroe K-8",Trotter Elementary,"135 Humboldt Ave Dorchester, MA 02121",K1-7,Owned,79600,79600,1968,1969,"CAD plans, site plans",427248,"$64,986.00",47375,"$59,535.00",102220,"$12,968.00","$137,489.00",Phase 3,511,511,Yes,No,Yes,Adequate,Adequate,Adequate,Minor,Moderate,Minor,Minor,Minor,Not Present,Minor,Adequate,Minor,Replace,Replace,Adequate,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,Yes,Good,Listed,Not Listed,No,No,Fair,Yes,No,No,No,No,Replace,Minor,Replace,Moderate,Moderate,Minor,Replace,Minor,Minor,Replace,Fair,Not Researched,No,Yes,Yes,Fair,Yes
"Tynan, Joseph P. Elementary",Tynan Elementary,"650 E Fourth St South Boston, MA02127",K0-5,Owned,120000,120000,1972,1972,"Program plans, MSBA space comparison plans, CAD plans, site plans",509040,"$85,301.00",58847,"$66,127.00",204530,"$26,583.00","$178,011.00",Phase 2,342,342,Yes,No,Yes,Moderate,Moderate,Moderate,Adequate,Minor,Adequate,Adequate,Adequate,Not Present,Adequate,Minor,Minor,Adequate,Adequate,Adequate,Not Observed,Not Observed,Yes,Not Observed,Yes,No,Good,Not Listed,Not Listed,Yes,Yes,Good,Yes,No,No,No,No,Replace,Minor,Minor,Moderate,Adequate,Replace,Moderate,Minor,Minor,Minor,Fair,Not Researched,Yes,No,Yes,Fair,Yes
"Umana Academy, Mario K-8",Mario Umana Academy,"312 Border St East Boston, MA 02128",K2-8,Owned,192500,162479,1975,1975,"Program plans, MSBA space comparison plans, CAD plans, site plans",213504,"$146,751.00",181734,"$188,508.00",157840,"$21,583.00","$356,842.00",Phase 1,837,837,No,No,Yes,Adequate,Minor,Minor,Minor,Replace,Replace,Replace,Minor,Replace,Adequate,Minor,Replace,Minor,Adequate,Minor,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,No,Good,Not Listed,Not Listed,Yes,Yes,Good,Yes,Yes,Yes,No,Yes,Replace,Minor,Moderate,Moderate,Minor,Adequate,Moderate,Replace,Moderate,Moderate,Fair,Not Researched,Yes,Yes,Yes,Fair,No
UP Academy Boston,Gavin,"215 Dorchester St South Boston, MA 02127",06-ago,Owned,108387,108387,2011,1936,"CAD plans, site plans",293604,"$42,870.00",33888,"$39,481.00",67660,"$8,441.00","$90,792.00",Phase 3,472,472,Yes,No,Yes,Adequate,Adequate,Minor,Moderate,Moderate,Moderate,Minor,Moderate,Not Present,Moderate,Minor,Moderate,Replace,Moderate,Adequate,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,Yes,Fair,Not Listed,Not Listed,No,No,Poor,Yes,No,No,No,No,Replace,Moderate,Minor,Replace,Not Present,Not Present,Replace,Replace,Not Present,Moderate,Poor,Not Researched,Yes,Yes,Yes,Poor,Yes
UP Academy Dorchester,Marshall Elementary,"35 Westville Street, Dorchester",K1-5,Owned,141091,131068,,1971,"CAD plans, site plans",536642,"$109,514.00",85355,"$90,765.00",128300,"$16,340.00","$216,619.00",Phase 3,671,671,Yes,No,Yes,Replace,Minor,Replace,Minor,Moderate,Moderate,Adequate,Adequate,Not Present,Adequate,Adequate,Minor,Minor,Replace,Adequate,Not Observed,Not Observed,Not Observed,Not Observed,Yes,Yes,Good,Not Listed,Not Listed,No,Yes,Excellent,Yes,No,No,No,Yes,Replace,Moderate,Replace,Replace,Minor,Minor,Replace,Minor,Minor,Replace,Fair,Not Researched,Yes,Yes,Yes,Fair,Yes
UP Academy Holland,Holland,"85 Olney Street, Dorchester",K1-5,Owned,137125,126872,2014,1972,"CAD plans, site plans",569788,"$152,102.00",138295,"$169,970.00",181790,"$24,774.00","$346,846.00",Phase 3,753,753,Yes,No,Yes,Moderate,Adequate,Adequate,Minor,Moderate,Minor,Adequate,Minor,Minor,Adequate,Adequate,Minor,Adequate,Minor,Minor,Yes,Not Observed,Not Observed,Not Observed,Not Observed,Yes,Good,Not Listed,Not Listed,No,Yes,Fair,Yes,No,No,No,Yes,Minor,Minor,Adequate,Adequate,Adequate,Moderate,Adequate,Moderate,Moderate,Adequate,Good,Not Researched,Yes,Yes,Yes,Good,Yes
Urban Science Academy*,West Roxbury High School,"1205 VFW Pkwy West Roxbury, MA 02132",09-dic,Owned,108220,108220,2011,1976,"CAD plans, site plans",1097520,"$294,332.00",257019,"$258,704.00",265450,"$36,183.00","$589,219.00",Phase 3,497,1026,Yes,No,Yes,Replace,Adequate,Replace,Adequate,Minor,Minor,Adequate,Adequate,Moderate,Minor,Adequate,Minor,Moderate,Moderate,Adequate,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,Yes,Good,Not Listed,Not Listed,Yes,Yes,Good,Yes,No,No,Yes,Yes,Adequate,Minor,Adequate,Moderate,Minor,Adequate,Adequate,Adequate,Adequate,Moderate,Good,Not Researched,No,No,No,Good,Yes
Warren/Prescott K-8 Lower,Warren/Prescott,"50 School St Charlestown, MA 02129",K0-6,Owned,46884,46884,2006,1963,"Program plans, MSBA space comparison plans, CAD plans, site plans",129600,"$23,348.00",17623,"$20,697.00",125000,"$16,324.00","$60,369.00",Phase 2,486,486,Yes,No,Yes,Minor,Minor,Replace,Adequate,Adequate,Replace,Replace,Adequate,Moderate,Adequate,Minor,Minor,Adequate,Adequate,Replace,Not Observed,Not Observed,Yes,Not Observed,Yes,No,Good,Not Listed,Not Listed,No,No,Poor,Yes,No,No,No,No,Moderate,Minor,Adequate,Moderate,Moderate,Replace,Minor,Moderate,Moderate,Minor,Fair,Not Researched,Yes,No,Yes,Fair,Yes
Warren/Prescott K-8 Upper,Holden School,"8 Pearl St. Charlestown, MA 02129",07-ago,Leased,11512,11512,,,"CAD plans, site plans",22520,"$3,505.00",0, $-   ,11220,"$1,315.00","$4,820.00",Not Assessed,59,59,,,,,,,,,,,,,,,,,,,,,,,,,Not Assessed,,,,,Not Assessed,,,,,,,,,,,,,,,,Not Assessed,Not Researched,,,,Not Assessed,
West Roxbury Academy*,West Roxbury High School,"1205 VFW Pkwy, West Roxbury, MA 02132",09-dic,Owned,113508,113508,2011,1976,"CAD plans, site plans",1097520,"$294,332.00",257019,"$258,704.00",265450,"$36,183.00","$589,219.00",Phase 3,529,1026,Yes,No,Yes,Replace,Adequate,Replace,Adequate,Minor,Minor,Adequate,Adequate,Moderate,Minor,Adequate,Minor,Moderate,Moderate,Adequate,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,Yes,Good,Not Listed,Not Listed,Yes,Yes,Good,Yes,No,No,Yes,Yes,Adequate,Minor,Adequate,Moderate,Minor,Adequate,Adequate,Adequate,Adequate,Moderate,Good,Not Researched,No,No,No,Good,Yes
West Zone Early Learning Center*,Hennigan Elementary School,"200 Heath St Jamaica Plain, MA 02130",K0-1,Owned,27000,27000,1997,1972,"CAD plans, site plans",120384,"$74,435.00",267450,"$276,004.00",287880,"$37,653.00","$388,092.00",Phase 3,93,717,No,No,Yes,Moderate,Adequate,Minor,Adequate,Adequate,Minor,Minor,Minor,Not Present,Minor,Moderate,Adequate,Moderate,Moderate,Minor,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,Yes,Good,Not Listed,Not Listed,No,Yes,Good,Yes,No,No,No,No,Minor,Moderate,Moderate,Moderate,Moderate,Minor,Minor,Minor,Minor,Moderate,Good,Not Researched,Yes,Yes,Yes,Good,Yes
"Winship, F. Lyman Elementary",Winship,"54 Dighton St Brighton, MA 02135",K0-5,Owned,41016,41016,1899,1901,"CAD plans, site plans",128480,"$20,522.00",15656,"$18,100.00",44180,"$5,394.00","$44,016.00",Phase 3,258,258,Yes,No,Yes,Moderate,Adequate,Adequate,Adequate,Moderate,Moderate,Moderate,Moderate,Not Present,Adequate,Minor,Minor,Minor,Moderate,Replace,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,Yes,Fair,Listed,Listed,No,No,Poor,Yes,No,No,No,No,Replace,Adequate,Minor,Adequate,Not Present,Not Present,Minor,Replace,Minor,Minor,Fair,Not Researched,Yes,Yes,Yes,Fair,No
"Winthrop, John Elementary",Winthrop Elementary,"35 Brookford St Dorchester, MA 02125",K1-5,Owned,40530,40530,1911,1911,"CAD plans, site plans",138240,"$20,594.00",16897,"$19,484.00",53440,"$7,457.00","$47,535.00",Phase 3,349,349,Yes,No,Yes,Minor,Adequate,Moderate,Replace,Replace,Replace,Moderate,Moderate,Adequate,Minor,Moderate,Replace,Replace,Replace,Replace,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,Yes,Fair,Not Listed,Not Listed,No,No,Poor,Yes,No,No,No,Yes,Not Present,Adequate,Moderate,Minor,Moderate,Not Present,Moderate,Minor,Moderate,Replace,Fair,Not Researched,No,Yes,Yes,Fair,No
Young Achievers Science & Math K-8,Lewenberg,"20 Outlook Rd Mattapan, MA02126",K1-8,Owned,120944,120944,1995,1930,"CAD plans, site plans",385248,"$53,897.00",36421,"$56,973.00",90940,"$11,457.00","$122,327.00",Phase 3,542,542,Yes,No,Yes,Minor,Adequate,Minor,Minor,Moderate,Moderate,Minor,Adequate,Not Present,Adequate,Moderate,Minor,Minor,Moderate,Replace,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,No,Good,Listed,Not Listed,No,Yes,Good,Yes,No,No,No,Yes,Moderate,Minor,Minor,Replace,Not Present,Minor,Replace,Replace,Adequate,Moderate,Fair,Not Researched,Yes,Yes,Yes,Fair,Yes
